largest,size_to_switch,keycomparisons,timetaken,numitems
10000000,8,1498309,0:00:00.484228,100000
10000000,8,18423785,0:00:04.918157,1000000
10000000,8,18424179,0:00:04.805460,1000000
10000000,8,215806782,0:01:03.135049,10000000
10000000,8,215803836,0:01:02.674834,10000000
1000,10,8489,0:00:00.002002,1000
1000,10,8432,0:00:00.001996,1000
1000,10,120250,0:00:00.028998,10000
1000,10,119910,0:00:00.028002,10000
1000,10,1498420,0:00:00.388790,100000
1000,10,1497807,0:00:00.359127,100000
1000,10,18418932,0:00:04.661668,1000000
1000,10,18416564,0:00:04.687708,1000000
1000,10,219359136,0:00:59.255651,10000000
1000,10,219362243,0:00:57.564494,10000000
10000,10,8499,0:00:00.001999,1000
10000,10,8438,0:00:00.001997,1000
10000,10,120025,0:00:00.028999,10000
10000,10,119832,0:00:00.028995,10000
10000,10,1497965,0:00:00.397007,100000
10000,10,1498235,0:00:00.360990,100000
10000,10,18422458,0:00:04.804963,1000000
10000,10,18421302,0:00:04.803771,1000000
10000,10,219428333,0:01:00.997708,10000000
10000,10,219436639,0:01:00.893963,10000000
100000,10,8409,0:00:00.002001,1000
100000,10,8495,0:00:00.002002,1000
100000,10,120313,0:00:00.029004,10000
100000,10,120189,0:00:00.027500,10000
100000,10,1498803,0:00:00.405003,100000
100000,10,1499191,0:00:00.424999,100000
100000,10,18423409,0:00:04.888961,1000000
100000,10,18424888,0:00:04.778579,1000000
100000,10,219438544,0:01:01.883734,10000000
100000,10,219439953,0:01:01.326468,10000000
1000000,10,8455,0:00:00.001997,1000
1000000,10,8457,0:00:00.001998,1000
1000000,10,119965,0:00:00.029000,10000
1000000,10,120099,0:00:00.029003,10000
1000000,10,1497696,0:00:00.377010,100000
1000000,10,1499424,0:00:00.402000,100000
1000000,10,18422449,0:00:04.953405,1000000
1000000,10,18420692,0:00:04.844323,1000000
1000000,10,219438356,0:01:02.234869,10000000
1000000,10,219442510,0:01:02.042048,10000000
10000000,10,8446,0:00:00.003000,1000
10000000,10,8501,0:00:00.002165,1000
10000000,10,120469,0:00:00.028999,10000
10000000,10,120057,0:00:00.028999,10000
10000000,10,1498057,0:00:00.379998,100000
10000000,10,1498517,0:00:00.372003,100000
10000000,10,18418666,0:00:04.935367,1000000
10000000,10,18423291,0:00:04.748622,1000000
10000000,10,219444916,0:01:01.554632,10000000
10000000,10,219440131,0:01:05.349732,10000000
1000,12,8514,0:00:00.003188,1000
1000,12,8441,0:00:00.003001,1000
1000,12,119832,0:00:00.033278,10000
1000,12,120018,0:00:00.031282,10000
1000,12,1548155,0:00:00.404279,100000
1000,12,1547605,0:00:00.372626,100000
1000,12,18418730,0:00:04.925792,1000000
1000,12,18416216,0:00:04.945629,1000000
1000,12,219368579,0:00:58.679342,10000000
1000,12,219364423,0:00:58.245787,10000000
10000,12,8485,0:00:00.001999,1000
10000,12,8453,0:00:00.013117,1000
10000,12,120027,0:00:00.029122,10000
10000,12,120011,0:00:00.029999,10000
10000,12,1549143,0:00:00.377485,100000
10000,12,1549124,0:00:00.378867,100000
10000,12,18424923,0:00:04.923335,1000000
10000,12,18422531,0:00:04.994384,1000000
10000,12,219431703,0:01:02.669425,10000000
10000,12,219442025,0:01:02.735045,10000000
100000,12,8423,0:00:00.002146,1000
100000,12,8412,0:00:00.002006,1000
100000,12,120041,0:00:00.030197,10000
100000,12,119811,0:00:00.032242,10000
100000,12,1548889,0:00:00.404519,100000
100000,12,1548220,0:00:00.427527,100000
100000,12,18420654,0:00:04.876358,1000000
100000,12,18422818,0:00:04.884991,1000000
100000,12,219444006,0:01:04.129253,10000000
100000,12,219435332,0:01:04.008374,10000000
1000000,12,8484,0:00:00.003000,1000
1000000,12,8446,0:00:00.002208,1000
1000000,12,119902,0:00:00.037950,10000
1000000,12,120349,0:00:00.033104,10000
1000000,12,1549096,0:00:00.408337,100000
1000000,12,1548348,0:00:00.424379,100000
1000000,12,18425609,0:00:05.201132,1000000
1000000,12,18423200,0:00:04.939349,1000000
1000000,12,219444144,0:01:03.142325,10000000
1000000,12,219434809,0:01:08.117141,10000000
10000000,12,8467,0:00:00.007998,1000
10000000,12,8452,0:00:00.008002,1000
10000000,12,119864,0:00:00.047997,10000
10000000,12,119749,0:00:00.040003,10000
10000000,12,1548207,0:00:00.508370,100000
10000000,12,1549429,0:00:00.536152,100000
10000000,12,18421607,0:00:05.761496,1000000
10000000,12,18422068,0:00:05.817424,1000000
10000000,12,219438661,0:01:12.198601,10000000
10000000,12,219437735,0:01:06.995781,10000000
1000,14,8480,0:00:00.003015,1000
1000,14,8489,0:00:00.003006,1000
1000,14,120097,0:00:00.027981,10000
1000,14,119752,0:00:00.028002,10000
1000,14,1563640,0:00:00.386003,100000
1000,14,1564891,0:00:00.374027,100000
1000,14,18419260,0:00:04.638801,1000000
1000,14,18415608,0:00:04.750019,1000000
1000,14,219353704,0:00:58.360271,10000000
1000,14,219357122,0:00:57.275552,10000000
10000,14,8486,0:00:00.001998,1000
10000,14,8540,0:00:00.001998,1000
10000,14,120192,0:00:00.027980,10000
10000,14,120198,0:00:00.026995,10000
10000,14,1566140,0:00:00.354037,100000
10000,14,1563584,0:00:00.359008,100000
10000,14,18420577,0:00:04.757064,1000000
10000,14,18423826,0:00:04.772120,1000000
10000,14,219422033,0:01:01.909306,10000000
10000,14,219428467,0:01:01.395111,10000000
100000,14,8461,0:00:00.003001,1000
100000,14,8388,0:00:00.003000,1000
100000,14,120295,0:00:00.027027,10000
100000,14,119961,0:00:00.027990,10000
100000,14,1564310,0:00:00.352030,100000
100000,14,1564869,0:00:00.359994,100000
100000,14,18422409,0:00:04.839581,1000000
100000,14,18425767,0:00:04.859030,1000000
100000,14,219441581,0:01:00.893494,10000000
100000,14,219443472,0:01:01.933345,10000000
1000000,14,8418,0:00:00.001999,1000
1000000,14,8531,0:00:00.001995,1000
1000000,14,119983,0:00:00.028000,10000
1000000,14,120194,0:00:00.027000,10000
1000000,14,1564904,0:00:00.377019,100000
1000000,14,1566642,0:00:00.362055,100000
1000000,14,18420967,0:00:04.774301,1000000
1000000,14,18422874,0:00:04.802110,1000000
1000000,14,219436079,0:01:00.924692,10000000
1000000,14,219438123,0:01:02.655984,10000000
10000000,14,8502,0:00:00.002001,1000
10000000,14,8456,0:00:00.001998,1000
10000000,14,119968,0:00:00.027001,10000
10000000,14,119901,0:00:00.026999,10000
10000000,14,1564445,0:00:00.382010,100000
10000000,14,1565160,0:00:00.380992,100000
10000000,14,18423523,0:00:05.016266,1000000
10000000,14,18424082,0:00:05.086866,1000000
10000000,14,219445184,0:01:02.379482,10000000
10000000,14,219443192,0:01:02.781371,10000000
1000,16,9523,0:00:00.001999,1000
1000,16,9530,0:00:00.001994,1000
1000,16,120042,0:00:00.028222,10000
1000,16,120035,0:00:00.027987,10000
1000,16,1564178,0:00:00.358029,100000
1000,16,1563567,0:00:00.353529,100000
1000,16,19435390,0:00:04.753578,1000000
1000,16,19439145,0:00:04.767012,1000000
1000,16,219361472,0:00:57.360952,10000000
1000,16,219376534,0:00:57.578272,10000000
10000,16,9514,0:00:00.001999,1000
10000,16,9588,0:00:00.002010,1000
10000,16,119961,0:00:00.034987,10000
10000,16,119950,0:00:00.030997,10000
10000,16,1565961,0:00:00.385003,100000
10000,16,1564768,0:00:00.375019,100000
10000,16,19439662,0:00:05.525981,1000000
10000,16,19438671,0:00:05.354542,1000000
10000,16,219432724,0:01:03.841886,10000000
10000,16,219435370,0:01:01.694050,10000000
100000,16,9422,0:00:00.002009,1000
100000,16,9558,0:00:00.002999,1000
100000,16,119764,0:00:00.026991,10000
100000,16,120359,0:00:00.027990,10000
100000,16,1565429,0:00:00.378025,100000
100000,16,1565417,0:00:00.375554,100000
100000,16,19439496,0:00:05.036091,1000000
100000,16,19444800,0:00:05.011034,1000000
100000,16,219436368,0:01:03.552824,10000000
100000,16,219430299,0:01:02.896023,10000000
1000000,16,9551,0:00:00.001999,1000
1000000,16,9569,0:00:00.002997,1000
1000000,16,119844,0:00:00.027988,10000
1000000,16,120142,0:00:00.027020,10000
1000000,16,1566012,0:00:00.364994,100000
1000000,16,1564627,0:00:00.359998,100000
1000000,16,19447457,0:00:04.926005,1000000
1000000,16,19441262,0:00:04.936027,1000000
1000000,16,219433734,0:01:03.139000,10000000
1000000,16,219439834,0:01:02.619051,10000000
10000000,16,9468,0:00:00.002000,1000
10000000,16,9523,0:00:00.001996,1000
10000000,16,120263,0:00:00.027975,10000
10000000,16,120060,0:00:00.028027,10000
10000000,16,1565643,0:00:00.367999,100000
10000000,16,1564650,0:00:00.378796,100000
10000000,16,19437255,0:00:04.933527,1000000
10000000,16,19443944,0:00:04.956024,1000000
10000000,16,219439107,0:01:02.039116,10000000
10000000,16,219441219,0:01:02.340740,10000000
1000,18,9541,0:00:00.002000,1000
1000,18,9530,0:00:00.002979,1000
1000,18,119929,0:00:00.027018,10000
1000,18,119824,0:00:00.027007,10000
1000,18,1563994,0:00:00.354668,100000
1000,18,1565205,0:00:00.377995,100000
1000,18,19433443,0:00:04.834659,1000000
1000,18,19437426,0:00:04.665066,1000000
1000,18,219356290,0:00:57.665196,10000000
1000,18,219373228,0:00:57.869223,10000000
10000,18,9467,0:00:00.002990,1000
10000,18,9594,0:00:00.003004,1000
10000,18,120172,0:00:00.027994,10000
10000,18,120035,0:00:00.028009,10000
10000,18,1564997,0:00:00.367987,100000
10000,18,1564999,0:00:00.356984,100000
10000,18,19443233,0:00:04.912648,1000000
10000,18,19443848,0:00:04.967063,1000000
10000,18,219433445,0:01:00.473885,10000000
10000,18,219433025,0:01:01.454639,10000000
100000,18,9713,0:00:00.003000,1000
100000,18,9665,0:00:00.003018,1000
100000,18,120185,0:00:00.028019,10000
100000,18,120004,0:00:00.028007,10000
100000,18,1565207,0:00:00.353972,100000
100000,18,1566651,0:00:00.357027,100000
100000,18,19438547,0:00:04.876621,1000000
100000,18,19445594,0:00:04.834054,1000000
100000,18,219441591,0:01:02.445749,10000000
100000,18,219433225,0:01:01.747223,10000000
1000000,18,9530,0:00:00.002014,1000
1000000,18,9578,0:00:00.002938,1000
1000000,18,120121,0:00:00.027987,10000
1000000,18,119975,0:00:00.027003,10000
1000000,18,1565091,0:00:00.368975,100000
1000000,18,1564573,0:00:00.354021,100000
1000000,18,19439841,0:00:04.887604,1000000
1000000,18,19443473,0:00:04.911074,1000000
1000000,18,219434748,0:01:01.353524,10000000
1000000,18,219433053,0:01:01.415136,10000000
10000000,18,9500,0:00:00.002000,1000
10000000,18,9521,0:00:00.001998,1000
10000000,18,120133,0:00:00.027998,10000
10000000,18,119970,0:00:00.026996,10000
10000000,18,1564115,0:00:00.368011,100000
10000000,18,1566203,0:00:00.360033,100000
10000000,18,19444557,0:00:04.941331,1000000
10000000,18,19442392,0:00:04.872071,1000000
10000000,18,219442874,0:01:02.185829,10000000
